,Symbol,First_Sighted_Date,Available_Since,Exchange
0,BTC,2023-01-01,2019-11-17 00:00:00+00:00,binance-futures
1,ETH,2023-01-01,2019-11-27 00:00:00+00:00,binance-futures
2,BNB,2023-01-01,2020-02-10 00:00:00+00:00,binance-futures
3,XRP,2023-01-01,2020-01-06 00:00:00+00:00,binance-futures
4,DOGE,2023-01-01,2020-07-10 00:00:00+00:00,binance-futures
5,ADA,2023-01-01,2020-01-31 00:00:00+00:00,binance-futures
6,MATIC,2023-01-01,2020-10-22 00:00:00+00:00,binance-futures
7,LTC,2023-01-01,2020-01-09 00:00:00+00:00,binance-futures
8,TRX,2023-01-01,2020-01-15 00:00:00+00:00,binance-futures
9,DOT,2023-01-01,2020-08-22 00:00:00+00:00,binance-futures
10,SHIB,2023-01-01,2021-05-10 00:00:00+00:00,binance-futures
11,UNI,2023-01-01,2020-09-18 00:00:00+00:00,binance-futures
12,SOL,2023-01-01,2020-09-14 00:00:00+00:00,binance-futures
13,AVAX,2023-01-01,2020-09-23 00:00:00+00:00,binance-futures
14,LINK,2023-01-01,2020-01-17 00:00:00+00:00,binance-futures
15,TON,2023-01-01,2024-03-01 00:00:00+00:00,binance-futures
16,XMR,2023-01-01,2020-02-03 00:00:00+00:00,binance-futures
17,ATOM,2023-01-01,2020-02-07 00:00:00+00:00,binance-futures
18,ETC,2023-01-01,2020-01-16 00:00:00+00:00,binance-futures
19,XLM,2023-01-01,2020-01-20 00:00:00+00:00,binance-futures
20,BCH,2023-01-01,2019-12-19 00:00:00+00:00,binance-futures
21,APE,2023-01-01,2022-03-17 00:00:00+00:00,binance-futures
22,QNT,2023-01-01,2022-10-20 00:00:00+00:00,binance-futures
23,ALGO,2023-01-01,2020-06-16 00:00:00+00:00,binance-futures
24,VET,2023-01-01,2020-02-14 00:00:00+00:00,binance-futures
25,ICP,2023-01-01,2021-05-11 00:00:00+00:00,binance-futures
26,FIL,2023-01-01,2020-10-16 00:00:00+00:00,binance-futures
27,NEAR,2023-01-01,2020-10-16 00:00:00+00:00,binance-futures
28,HBAR,2023-01-01,2021-03-17 00:00:00+00:00,binance-futures
29,EOS,2023-01-01,2020-01-08 00:00:00+00:00,binance-futures
30,LUNC,2023-01-01,2022-09-09 00:00:00+00:00,binance-futures
31,BSV,2023-01-01,2023-10-20 00:00:00+00:00,binance-futures
32,EGLD,2023-01-01,2020-09-14 00:00:00+00:00,binance-futures
33,THETA,2023-01-01,2020-05-27 00:00:00+00:00,binance-futures
34,AAVE,2023-01-01,2020-10-16 00:00:00+00:00,binance-futures
35,FLOW,2023-01-01,2022-02-10 00:00:00+00:00,binance-futures
36,CHZ,2023-01-01,2021-01-21 00:00:00+00:00,binance-futures
37,XTZ,2023-01-01,2020-02-06 00:00:00+00:00,binance-futures
38,AXS,2023-01-01,2020-11-20 00:00:00+00:00,binance-futures
39,ZEC,2023-01-01,2020-02-05 00:00:00+00:00,binance-futures
40,BTT,2023-01-01,2021-04-06 00:00:00+00:00,binance-futures
41,TWT,2023-01-01,2023-11-03 00:00:00+00:00,binance-futures
42,SAND,2023-01-01,2021-01-25 00:00:00+00:00,binance-futures
43,MANA,2023-01-01,2021-03-15 00:00:00+00:00,binance-futures
44,FTM,2023-01-01,2020-09-24 00:00:00+00:00,binance-futures
45,CAKE,2023-01-01,2023-11-02 00:00:00+00:00,binance-futures
46,MKR,2023-01-01,2020-08-13 00:00:00+00:00,binance-futures
47,GRT,2023-01-01,2020-12-19 00:00:00+00:00,binance-futures
48,IOTA,2023-01-01,2020-02-12 00:00:00+00:00,binance-futures
49,DASH,2023-01-01,2020-02-04 00:00:00+00:00,binance-futures
50,KLAY,2023-01-01,2021-10-12 00:00:00+00:00,binance-futures
51,APT,2023-01-01,2022-10-19 00:00:00+00:00,binance-futures
52,NEO,2023-01-01,2020-02-17 00:00:00+00:00,binance-futures
53,XEC,2023-01-01,2021-09-17 00:00:00+00:00,binance-futures
54,RUNE,2023-01-01,2020-09-04 00:00:00+00:00,binance-futures
55,SNX,2023-01-01,2020-08-15 00:00:00+00:00,binance-futures
56,GMX,2023-01-01,2023-02-17 00:00:00+00:00,binance-futures
57,MINA,2023-01-01,2023-02-06 00:00:00+00:00,binance-futures
58,LDO,2023-01-01,2022-09-22 00:00:00+00:00,binance-futures
59,FXS,2023-01-01,2023-01-20 00:00:00+00:00,binance-futures
60,ETHW,2023-01-01,2023-11-28 00:00:00+00:00,binance-futures
