id,type,availableSince
btcusdt,perpetual,2019-11-17T00:00:00.000Z
ethusdt,perpetual,2019-11-27T00:00:00.000Z
bchusdt,perpetual,2019-12-19T00:00:00.000Z
xrpusdt,perpetual,2020-01-06T00:00:00.000Z
eosusdt,perpetual,2020-01-08T00:00:00.000Z
ltcusdt,perpetual,2020-01-09T00:00:00.000Z
trxusdt,perpetual,2020-01-15T00:00:00.000Z
etcusdt,perpetual,2020-01-16T00:00:00.000Z
linkusdt,perpetual,2020-01-17T00:00:00.000Z
xlmusdt,perpetual,2020-01-20T00:00:00.000Z
adausdt,perpetual,2020-01-31T00:00:00.000Z
xmrusdt,perpetual,2020-02-03T00:00:00.000Z
dashusdt,perpetual,2020-02-04T00:00:00.000Z
zecusdt,perpetual,2020-02-05T00:00:00.000Z
xtzusdt,perpetual,2020-02-06T00:00:00.000Z
atomusdt,perpetual,2020-02-07T00:00:00.000Z
bnbusdt,perpetual,2020-02-10T00:00:00.000Z
ontusdt,perpetual,2020-02-11T00:00:00.000Z
iotausdt,perpetual,2020-02-12T00:00:00.000Z
batusdt,perpetual,2020-02-13T00:00:00.000Z
vetusdt,perpetual,2020-02-14T00:00:00.000Z
neousdt,perpetual,2020-02-17T00:00:00.000Z
qtumusdt,perpetual,2020-02-20T00:00:00.000Z
iostusdt,perpetual,2020-02-21T00:00:00.000Z
thetausdt,perpetual,2020-05-27T00:00:00.000Z
algousdt,perpetual,2020-06-16T00:00:00.000Z
zilusdt,perpetual,2020-06-18T00:00:00.000Z
kncusdt,perpetual,2020-06-22T00:00:00.000Z
zrxusdt,perpetual,2020-06-24T00:00:00.000Z
compusdt,perpetual,2020-06-30T00:00:00.000Z
omgusdt,perpetual,2020-07-02T00:00:00.000Z
dogeusdt,perpetual,2020-07-10T00:00:00.000Z
sxpusdt,perpetual,2020-07-22T00:00:00.000Z
kavausdt,perpetual,2020-07-29T00:00:00.000Z
bandusdt,perpetual,2020-07-29T00:00:00.000Z
rlcusdt,perpetual,2020-08-01T00:00:00.000Z
mkrusdt,perpetual,2020-08-13T00:00:00.000Z
snxusdt,perpetual,2020-08-15T00:00:00.000Z
dotusdt,perpetual,2020-08-22T00:00:00.000Z
defiusdt,perpetual,2020-08-29T00:00:00.000Z
yfiusdt,perpetual,2020-08-31T00:00:00.000Z
balusdt,perpetual,2020-09-01T00:00:00.000Z
crvusdt,perpetual,2020-09-01T00:00:00.000Z
trbusdt,perpetual,2020-09-03T00:00:00.000Z
sushiusdt,perpetual,2020-09-04T00:00:00.000Z
runeusdt,perpetual,2020-09-04T00:00:00.000Z
solusdt,perpetual,2020-09-14T00:00:00.000Z
egldusdt,perpetual,2020-09-14T00:00:00.000Z
icxusdt,perpetual,2020-09-15T00:00:00.000Z
storjusdt,perpetual,2020-09-16T00:00:00.000Z
blzusdt,perpetual,2020-09-18T00:00:00.000Z
uniusdt,perpetual,2020-09-18T00:00:00.000Z
