id,type,availableSince
BTCUSD,perpetual,2019-11-07T00:00:00.000Z
BTCUSDT,perpetual,2020-05-28T00:00:00.000Z
BTCPERP,perpetual,2022-06-21T00:00:00.000Z
ETHUSD,perpetual,2019-11-07T00:00:00.000Z
ETHUSDT,perpetual,2020-10-21T00:00:00.000Z
ETHPERP,perpetual,2022-08-05T00:00:00.000Z
ETHWUSDT,perpetual,2022-09-16T00:00:00.000Z
ETHFIUSDT,perpetual,2024-03-18T00:00:00.000Z
ETHFIPERP,perpetual,2024-04-25T00:00:00.000Z
ETHBTCUSDT,perpetual,2024-06-07T00:00:00.000Z
BNBUSDT,perpetual,2021-06-29T00:00:00.000Z
BNBPERP,perpetual,2022-09-30T00:00:00.000Z
LTCUSDT,perpetual,2020-10-21T00:00:00.000Z
LTCUSD,perpetual,2022-04-01T00:00:00.000Z
SOLUSDT,perpetual,2021-06-29T00:00:00.000Z
SOLUSD,perpetual,2022-03-25T00:00:00.000Z
SOLPERP,perpetual,2022-08-05T00:00:00.000Z
BCHUSDT,perpetual,2020-12-14T00:00:00.000Z
XRPUSD,perpetual,2019-11-07T00:00:00.000Z
XRPUSDT,perpetual,2021-05-13T00:00:00.000Z
XRPPERP,perpetual,2022-08-05T00:00:00.000Z
EOSUSD,perpetual,2019-11-07T00:00:00.000Z
EOSUSDT,perpetual,2021-06-29T00:00:00.000Z
LUNA2USDT,perpetual,2022-05-31T00:00:00.000Z
AVAXUSDT,perpetual,2021-09-15T00:00:00.000Z
TRXUSDT,perpetual,2021-08-31T00:00:00.000Z
ETCUSDT,perpetual,2021-06-29T00:00:00.000Z
ETCPERP,perpetual,2022-09-01T00:00:00.000Z
DOTUSDT,perpetual,2021-03-18T00:00:00.000Z
DOTUSD,perpetual,2021-10-13T00:00:00.000Z
LINKUSDT,perpetual,2020-10-21T00:00:00.000Z
ADAUSDT,perpetual,2021-03-18T00:00:00.000Z
ADAUSD,perpetual,2022-03-25T00:00:00.000Z
DOGEUSDT,perpetual,2021-06-02T00:00:00.000Z
DOGEPERP,perpetual,2024-04-26T00:00:00.000Z
SHIB1000USDT,perpetual,2021-10-20T00:00:00.000Z
SHIB1000PERP,perpetual,2024-05-13T00:00:00.000Z
UNIUSDT,perpetual,2021-03-18T00:00:00.000Z
BSVUSDT,perpetual,2021-12-10T00:00:00.000Z
XLMUSDT,perpetual,2021-08-31T00:00:00.000Z
XTZUSDT,perpetual,2020-10-21T00:00:00.000Z
CROUSDT,perpetual,2021-11-23T00:00:00.000Z
BATUSDT,perpetual,2021-11-24T00:00:00.000Z
XMRUSDT,perpetual,2022-01-14T00:00:00.000Z
USTCUSDT,perpetual,2023-11-27T00:00:00.000Z
COMPUSDT,perpetual,2021-08-31T00:00:00.000Z
AAVEUSDT,perpetual,2021-05-13T00:00:00.000Z
FILUSDT,perpetual,2021-06-29T00:00:00.000Z
